new_name	old_name	kind	subsystem
ble_ro_29008	ro_29008	global	ble
ble_ro_29040	ro_29040	global	ble
ble_ro_29060	ro_29060	global	ble
ble_ro_2909c	ro_2909c	global	ble
ble_ro_290a0	ro_290a0	global	ble
ble_ro_290a4	ro_290a4	global	ble
ble_ro_290a8	ro_290a8	global	ble
ble_ro_290ac	ro_290ac	global	ble
ble_ro_290b0	ro_290b0	global	ble
ble_ro_290b4	ro_290b4	global	ble
ble_ro_291f4	ro_291f4	global	ble
ble_ro_291f8	ro_291f8	global	ble
ble_ro_291fc	ro_291fc	global	ble
ble_ro_29200	ro_29200	global	ble
ble_ro_29234	ro_29234	global	ble
ble_ro_29238	ro_29238	global	ble
ble_ro_2923c	ro_2923c	global	ble
ble_ro_29240	ro_29240	global	ble
ble_ro_292a0	ro_292a0	global	ble
ble_ro_29778	ro_29778	global	ble
ble_ro_297a0	ro_297a0	global	ble
ble_ro_297b8	ro_297b8	global	ble
ble_ro_297c0	ro_297c0	global	ble
ble_ro_297f0	ro_297f0	global	ble
ble_ro_297f4	ro_297f4	global	ble
ble_ro_298e4	ro_298e4	global	ble
ble_ro_29cd8	ro_29cd8	global	ble
ble_ro_29ce0	ro_29ce0	global	ble
ble_ro_29d0c	ro_29d0c	global	ble
ble_ro_29dcc	ro_29dcc	global	ble
ble_ro_29dd0	ro_29dd0	global	ble
ble_ro_29e18	ro_29e18	global	ble
ble_ro_29e1c	ro_29e1c	global	ble
ble_ro_29e24	ro_29e24	global	ble
ble_ro_29ec8	ro_29ec8	global	ble
ble_ro_2a43c	ro_2a43c	global	ble
ble_ro_2a440	ro_2a440	global	ble
ble_ro_2a444	ro_2a444	global	ble
ble_ro_2a448	ro_2a448	global	ble
ble_ro_2a44c	ro_2a44c	global	ble
ble_ro_2a46c	ro_2a46c	global	ble
ble_ro_2a470	ro_2a470	global	ble
ble_ro_2a474	ro_2a474	global	ble
ble_ro_2a478	ro_2a478	global	ble
ble_ro_2a494	ro_2a494	global	ble
ble_ro_2a7d0	ro_2a7d0	global	ble
ble_ro_2a7d4	ro_2a7d4	global	ble
ble_ro_2a7d8	ro_2a7d8	global	ble
ble_ro_2a7dc	ro_2a7dc	global	ble
ble_ro_2a7e0	ro_2a7e0	global	ble
ble_ro_2a830	ro_2a830	global	ble
ble_ro_2a834	ro_2a834	global	ble
ble_ro_2a864	ro_2a864	global	ble
ble_ro_2a8a4	ro_2a8a4	global	ble
ble_ro_2a8cc	ro_2a8cc	global	ble
ble_ro_2a928	ro_2a928	global	ble
ble_ro_2a92c	ro_2a92c	global	ble
ble_ro_2a948	ro_2a948	global	ble
ble_ro_2a9a4	ro_2a9a4	global	ble
ble_ro_2a9a8	ro_2a9a8	global	ble
ble_ro_2a9ac	ro_2a9ac	global	ble
ble_ro_2a9b0	ro_2a9b0	global	ble
ble_ro_2a9b4	ro_2a9b4	global	ble
ble_ro_2adb8	ro_2adb8	global	ble
ble_ro_2adbc	ro_2adbc	global	ble
ble_ro_2adc0	ro_2adc0	global	ble
ble_ro_2adc4	ro_2adc4	global	ble
ble_ro_2adc8	ro_2adc8	global	ble
ble_ro_2adcc	ro_2adcc	global	ble
ble_ro_2add0	ro_2add0	global	ble
ble_ro_2add4	ro_2add4	global	ble
ble_ro_2add8	ro_2add8	global	ble
ble_ro_2addc	ro_2addc	global	ble
ble_ro_2ade0	ro_2ade0	global	ble
ble_ro_2ade8	ro_2ade8	global	ble
ble_ro_2adec	ro_2adec	global	ble
ble_ro_2adf0	ro_2adf0	global	ble
ble_ro_2adf4	ro_2adf4	global	ble
ble_ro_2adf8	ro_2adf8	global	ble
ble_ro_2adfc	ro_2adfc	global	ble
ble_ro_2ae00	ro_2ae00	global	ble
ble_ro_2ae04	ro_2ae04	global	ble
ble_ro_2ae08	ro_2ae08	global	ble
ble_ro_2b3c3	ro_2b3c3	global	ble
ble_ro_2b58c	ro_2b58c	global	ble
ble_ro_2b594	ro_2b594	global	ble
ble_ro_2b668	ro_2b668	global	ble
ble_ro_2b6c4	ro_2b6c4	global	ble
ble_ro_2b6c8	ro_2b6c8	global	ble
ble_ro_2babc	ro_2babc	global	ble
ble_ro_2bae8	ro_2bae8	global	ble
ble_ro_2baec	ro_2baec	global	ble
ble_ro_2baf0	ro_2baf0	global	ble
ble_ro_2bb04	ro_2bb04	global	ble
ble_ro_2bb08	ro_2bb08	global	ble
ble_ro_2bb0c	ro_2bb0c	global	ble
ble_ro_2bb10	ro_2bb10	global	ble
ble_ro_2bb14	ro_2bb14	global	ble
ble_ro_2bb18	ro_2bb18	global	ble
ble_ro_2bb34	ro_2bb34	global	ble
ble_ro_2bb38	ro_2bb38	global	ble
ble_ro_2bb58	ro_2bb58	global	ble
ble_ro_2bb84	ro_2bb84	global	ble
ble_ro_2bba4	ro_2bba4	global	ble
ble_ro_2be78	ro_2be78	global	ble
ble_ro_2be7c	ro_2be7c	global	ble
ble_ro_2bfbc	ro_2bfbc	global	ble
ble_ro_2bfc4	ro_2bfc4	global	ble
ble_ro_2c848	ro_2c848	global	ble
ble_ro_2c84c	ro_2c84c	global	ble
ble_ro_2c850	ro_2c850	global	ble
ble_ro_2c864	ro_2c864	global	ble
ble_ro_2cb4c	ro_2cb4c	global	ble
ble_ro_2cbc4	ro_2cbc4	global	ble
ble_ro_2d000	ro_2d000	global	ble
ble_ro_2d038	ro_2d038	global	ble
ble_ro_2d03c	ro_2d03c	global	ble
ble_ro_2d044	ro_2d044	global	ble
ble_ro_2d8a8	ro_2d8a8	global	ble
ble_ro_2d8ac	ro_2d8ac	global	ble
ble_ro_2d940	ro_2d940	global	ble
ble_ro_2d944	ro_2d944	global	ble
ble_ro_2d948	ro_2d948	global	ble
ble_ro_2d94c	ro_2d94c	global	ble
ble_ro_2d958	ro_2d958	global	ble
ble_ro_2de7c	ro_2de7c	global	ble
ble_ro_2dfa0	ro_2dfa0	global	ble
ble_ro_2dfc4	ro_2dfc4	global	ble
ble_ro_2e6f8	ro_2e6f8	global	ble
ble_ro_2e6fc	ro_2e6fc	global	ble
ble_ro_2eda8	ro_2eda8	global	ble
ble_ro_2ee68	ro_2ee68	global	ble
ble_ro_2ee6c	ro_2ee6c	global	ble
