addr	name	size	callers	callees	strings
0001855c	rom_1855C	1	hogpd_report_upd_req_handler		
000185a6	rom_185A6	1			
0001efcc	rom_1EFCC	1	FUN_0003e9f8		
0001f06a	rom_1F06A	1	FUN_0003ef48;FUN_0003f9a0;FUN_00041160		
0001f16a	rom_1F16A	1			
0001f296	rom_1F296	1			
0001f3d4	rom_1F3D4	1	FUN_00041160		
0001f3f6	rom_1F3F6	1	FUN_00041160		
0001f61c	rom_1F61C	1	FUN_0003f9a0		
00024f08	rom_24F08	1	FUN_0003dfd2;rwip_driver_init		
00024f24	rom_24F24	1	FUN_00032fe6;FUN_0003b6f6;FUN_0003b932;FUN_0003c21e;FUN_0003c2e6;FUN_0003c338;FUN_0003c39c;FUN_0003c57a;FUN_0003c6ce;FUN_0003c75a;FUN_0003e04e;FUN_0003e432;FUN_000405ae;FUN_00042c70;kmod_calibration_2M;referance_voltage;rgb_24g_test_cal;value_kcal_result		
00024f78	rom_24F78	1			
00024f8a	rom_24F8A	1	FUN_0003dc3c;enter_BLE_normal_app_mode		
00024f9c	rom_24F9C	1	Default_Profile;FLASH_RD_Macro;FLASH_RD_Profile;FLASH_WR_Profile;FLASH_wr_Global;FUN_00029392;FUN_000294f8;FUN_00029764;FUN_00029988;FUN_00029a42;FUN_0002c124;FUN_0002c158;FUN_0002d53c;FUN_0002da7e;FUN_0002f92a;FUN_000333f0;FUN_000358b6;FUN_00037004;FUN_00037078;FUN_0003870a;FUN_0003a244;FUN_0003b882;FUN_0003ba6e;FUN_0003bd90;FUN_0003bde6;FUN_0003d63a;FUN_0003d7ee;FUN_0003d8da;FUN_0003d96e;FUN_0003da42;FUN_0003dd56;FUN_0003e732;FUN_0003e8c2;FUN_0003e902;FUN_0003eb28;FUN_0003f3cc;FUN_0003f418;FUN_0003f9a0;FUN_000400e2;FUN_00040568;FUN_00041160;FUN_0004169a;FUN_00041922;FUN_00041f62;HID_RQT_Get_Protocol;RPT_STEP;_USB_macro2;app_ble_addr_tabl_init;appm_create_advertising;flash_erase;flash_read;flash_write_some_data;force_pair_en;limit;loc_irk;read;save;tx_failed_cnt;update		
00024fec	rom_24FEC	1	Default_Profile;FLASH_RD_Global;FLASH_WR_Profile;FLASH_wr_Global;FUN_00028b00;FUN_00029530;FUN_0002b3ac;FUN_0002b4de;FUN_0002bd62;FUN_0002c0dc;FUN_0002c378;FUN_0002d53c;FUN_0002f92a;FUN_0002ff18;FUN_000312de;FUN_00031334;FUN_00031406;FUN_0003143c;FUN_00032f16;FUN_000332be;FUN_000333f0;FUN_000358b6;FUN_000371ac;FUN_00037a94;FUN_0003870a;FUN_00039526;FUN_0003aba4;FUN_0003aca4;FUN_0003b760;FUN_0003b904;FUN_0003d63a;FUN_0003d7ee;FUN_0003d8da;FUN_0003d96e;FUN_0003da42;Set_Report_Data;_USB_macro2;exist;f_reconnect_24G;f_usb_isConnected;system_mode		
00025002	rom_25002	1	FUN_0003bb38;FUN_0003e516;FUN_0003e5f0		
0002501c	rom_2501C	1	FUN_000425ea		
00025024	rom_25024	1	FUN_00028c66;FUN_0003943c;FUN_0003948a;FUN_00039526;FUN_0003dfd2		
00025038	rom_25038	1	FUN_00028c66;FUN_0003943c;FUN_0003948a;FUN_00039526;FUN_0003dfd2		
0002504c	rom_2504C	1	FUN_00028c66;FUN_0003943c;FUN_0003948a;FUN_00039526;FUN_0003dfd2;enter_BLE_normal_app_mode		
0002505c	rom_2505C	1	FUN_00028c66;FUN_0003943c;FUN_0003948a;FUN_00039526;FUN_0003dfd2;enter_BLE_normal_app_mode		
00025078	rom_25078	1	FUN_0002d53c;FUN_0002f4da;FUN_00030094;FUN_000319c0;FUN_00031b3e;FUN_0003300e;FUN_000333f0;FUN_00033a7e;FUN_00036a12;FUN_0003af2c;FUN_0003afa2;FUN_0003b7d4;FUN_0003bad6;FUN_0003c8dc;FUN_0003db3a;FUN_00041922;Set_Report_Data;_saveC_GM_ProfileMax;adv_state;app_start_led;rgb_24g_test_cal;single_wave		
000287a0	_vector_table	4			
000287e0	thunk_FUN_000289f0	4			
000287e4	thunk_FUN_000289f8	4			
000287e8	thunk_FUN_00028a00	4			
000287ec	thunk_FUN_00028a08	4			
